Evaluate.py:18: unused variable 'Thoughts' (60% confidence, 1 line)
Evaluate.py:19: unused variable 'Reasoning' (60% confidence, 1 line)
Evaluate.py:20: unused variable 'Plot' (60% confidence, 1 line)
Evaluate.py:21: unused variable 'PlotExplanation' (60% confidence, 1 line)
Evaluate.py:22: unused variable 'Style' (60% confidence, 1 line)
Evaluate.py:23: unused variable 'StyleExplanation' (60% confidence, 1 line)
Evaluate.py:24: unused variable 'Chapters' (60% confidence, 1 line)
Evaluate.py:25: unused variable 'ChaptersExplanation' (60% confidence, 1 line)
Evaluate.py:26: unused variable 'Tropes' (60% confidence, 1 line)
Evaluate.py:27: unused variable 'TropesExplanation' (60% confidence, 1 line)
Evaluate.py:28: unused variable 'Genre' (60% confidence, 1 line)
Evaluate.py:29: unused variable 'GenreExplanation' (60% confidence, 1 line)
Evaluate.py:30: unused variable 'Narrative' (60% confidence, 1 line)
Evaluate.py:31: unused variable 'NarrativeExplanation' (60% confidence, 1 line)
Evaluate.py:32: unused variable 'OverallWinner' (60% confidence, 1 line)
Evaluate.py:36: unused variable 'Plot' (60% confidence, 1 line)
Evaluate.py:37: unused variable 'PlotExplanation' (60% confidence, 1 line)
Evaluate.py:38: unused variable 'Style' (60% confidence, 1 line)
Evaluate.py:39: unused variable 'StyleExplanation' (60% confidence, 1 line)
Evaluate.py:40: unused variable 'Dialogue' (60% confidence, 1 line)
Evaluate.py:41: unused variable 'DialogueExplanation' (60% confidence, 1 line)
Evaluate.py:42: unused variable 'Tropes' (60% confidence, 1 line)
Evaluate.py:43: unused variable 'TropesExplanation' (60% confidence, 1 line)
Evaluate.py:44: unused variable 'Genre' (60% confidence, 1 line)
Evaluate.py:45: unused variable 'GenreExplanation' (60% confidence, 1 line)
Evaluate.py:46: unused variable 'Narrative' (60% confidence, 1 line)
Evaluate.py:47: unused variable 'NarrativeExplanation' (60% confidence, 1 line)
Evaluate.py:48: unused variable 'OverallWinner' (60% confidence, 1 line)
Evaluate.py:186: unused variable 'OutlineJSON' (60% confidence, 1 line)
Evaluate.py:195: unused variable 'ChapterJSONs' (60% confidence, 1 line)
Evaluate.py:199: unused variable 'ChapterJSON' (60% confidence, 1 line)
Evaluate.py:215: unused variable 'TotalEvalTime_s' (60% confidence, 1 line)
Write.py:340: unused attribute 'OPTIONAL_OUTPUT_NAME' (60% confidence, 1 line)
